                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3608,                 1.4207,                0.96551,                0.43214,                0.32255,                0.31913,                0.19231,                 1.2386,                0.99279,                0.90913,              0.0033251,              0.0033251,              0.0033251
                      2,                 1.3348,                 1.0434,                0.93478,                0.46078,                0.34122,                  0.344,                  0.201,                 1.2954,                0.97235,                0.91285,              0.0065925,              0.0065925,              0.0065925
                      3,                 1.3798,                 1.0442,                  0.941,                0.44041,                0.34141,                0.33825,                0.19984,                 1.3085,                 1.0282,                0.91715,              0.0097939,              0.0097939,              0.0097939
                      4,                 1.3883,                 1.0238,                0.94387,                0.44011,                0.33713,                0.33798,                0.19696,                 1.2954,                 1.0052,                0.92288,               0.009703,               0.009703,               0.009703
                      5,                 1.3496,                0.98849,                  0.939,                0.44577,                0.35736,                0.34698,                0.20781,                 1.2717,                0.96213,                0.91682,               0.009703,               0.009703,               0.009703
                      6,                 1.3265,                0.95367,                0.93378,                0.48676,                0.35217,                0.36062,                0.21918,                 1.2412,                0.93749,                0.90994,               0.009604,               0.009604,               0.009604
                      7,                 1.3106,                0.93683,                0.92758,                0.48635,                0.35893,                0.36953,                0.21968,                 1.2495,                0.91959,                0.91095,               0.009505,               0.009505,               0.009505
                      8,                 1.2888,                0.91716,                0.92557,                0.50227,                0.36355,                0.37975,                0.22425,                 1.2403,                0.90395,                0.90795,               0.009406,               0.009406,               0.009406
                      9,                 1.2741,                 0.8969,                0.91991,                0.49424,                0.37043,                0.38524,                0.23455,                 1.2155,                0.88424,                  0.902,               0.009307,               0.009307,               0.009307
                     10,                 1.2579,                0.88141,                0.91784,                0.49924,                0.38282,                0.39363,                0.23865,                 1.2096,                0.87768,                0.90113,               0.009208,               0.009208,               0.009208
                     11,                  1.251,                0.86192,                0.91289,                0.49741,                0.38798,                0.39878,                0.23942,                 1.2022,                0.86828,                0.89885,               0.009109,               0.009109,               0.009109
                     12,                 1.2338,                0.85406,                0.90924,                0.50744,                0.38564,                0.39931,                0.24218,                 1.1953,                0.86481,                0.89712,                0.00901,                0.00901,                0.00901
                     13,                 1.2319,                0.83909,                0.91044,                0.52799,                0.38471,                0.40208,                0.24594,                 1.1867,                0.86031,                0.89339,               0.008911,               0.008911,               0.008911
                     14,                 1.2169,                0.82825,                0.90723,                0.51676,                0.41032,                0.41774,                0.25239,                 1.1875,                 0.8371,                0.89506,               0.008812,               0.008812,               0.008812
                     15,                 1.2094,                0.81255,                0.90712,                0.52949,                0.41219,                0.42109,                0.25441,                 1.1805,                0.83836,                0.89417,               0.008713,               0.008713,               0.008713
                     16,                 1.1916,                 0.7992,                 0.9012,                0.53608,                0.39991,                0.41924,                0.25369,                  1.176,                0.83159,                0.89342,               0.008614,               0.008614,               0.008614
                     17,                 1.1965,                0.80106,                0.90225,                0.53449,                0.41079,                0.42835,                0.26224,                 1.1716,                 0.8233,                 0.8906,               0.008515,               0.008515,               0.008515
                     18,                 1.1903,                0.78534,                0.90357,                 0.5378,                0.41832,                0.42752,                0.25961,                 1.1623,                0.81958,                0.89007,               0.008416,               0.008416,               0.008416
                     19,                 1.1825,                0.78051,                0.89811,                 0.5351,                0.41681,                0.43534,                0.26487,                 1.1603,                0.81317,                0.88736,               0.008317,               0.008317,               0.008317
                     20,                 1.1701,                0.76587,                0.89594,                0.53868,                0.41767,                0.43091,                0.26005,                 1.1663,                0.81723,                0.88987,               0.008218,               0.008218,               0.008218
                     21,                 1.1741,                0.77108,                0.89536,                0.54653,                0.41516,                0.43517,                0.26387,                 1.1576,                0.80523,                0.88919,               0.008119,               0.008119,               0.008119
                     22,                 1.1611,                0.75414,                0.89409,                0.54464,                 0.4138,                0.43146,                0.26427,                 1.1582,                0.81842,                0.89011,                0.00802,                0.00802,                0.00802
                     23,                   1.16,                0.74888,                0.89238,                0.55614,                 0.4192,                0.43913,                0.26649,                 1.1515,                0.80629,                0.88668,               0.007921,               0.007921,               0.007921
                     24,                 1.1562,                0.74196,                0.89289,                0.55169,                0.42447,                0.44354,                0.27115,                 1.1455,                0.80081,                0.88497,               0.007822,               0.007822,               0.007822
                     25,                 1.1461,                0.73385,                0.88979,                0.56576,                0.42304,                0.44412,                0.27175,                 1.1505,                0.80069,                0.88554,               0.007723,               0.007723,               0.007723
                     26,                 1.1432,                0.72739,                0.88838,                0.54937,                0.42874,                0.44493,                0.27346,                 1.1528,                0.80054,                 0.8862,               0.007624,               0.007624,               0.007624
